,sentence
64,"실시간 시청자 수 [23] 가 증가 하다 보니 통제가 안 되는 비속어, 욕설, 논쟁, 일 베용어 도배 등이 방송 화면에 그대로 드러난다."
65,"년 1월 방송에 나오는 채팅 창에서 트위치와 유 튜브를 구분할 수 없도록 수정하고, 유 튜브의 특정 단어 차단 기능과 스트 리머 본인의 차단, 시청자들의 자정작용 등으로 클린한 채팅 창을 유지하는 듯했으나 시청자 수가 증가함에 따라 여전히 혼란 스러워지 기도 한다."
66,"4년이라는 긴 시간 동안 아직 까지 논란 거리는 없는 클린한 편에 속하는 유 튜버. 과거에는 챔피언 스토리 탐방, 라 이엇 코리아 헬 퍼 방관 논란 관련 영상도 업 로드했다.2019"
67,"무엇보다도 테스터 훈이 컨텐츠 욕심에 의해 장기간 리그 오브 레전드를 플레이 하다 보니 손목 건강이 매우 안 좋아졌는데, 테스터 훈 본인이 게임을 하지 않고도 충분한 재미를 뽑아낼 수 있어 그야말로 효자 컨텐츠라고 할 수 있다."
68,상술했듯 방송 중에 브금을 도입하고 욕설까지 곁들인 재밌는 게임 방송으로 큰 인기를 누렸다.
69,우 왁굳 이후로 유명 세를 탄 게임 BJ 들이 대부분 욕을 썼기에 우왁굳이 욕설 게임 방송을 하는 BJ 들에게 직간접적으로 영향을 끼쳤다고
70,"그러나 정작 방송 활동을 재개하고 난 우 왁굳 본인은 욕을 기피하며, 욕설방송 부흥 자 타이틀을 매우 싫어한다."
71,"2017년에는 09 왁굳 급은 아니어도 욕이 크게 늘었으나, 우왁굳이 욕을 안하기로 2016년 공모전 방송에서 선언한 이후 욕이 다시 줄었다."
72,"[108] 호랑이 vs 사자에서 사자의 편을 들어주며 사자를 우리자, 호랑이는 느그랑이라고 부르며 수많은 호랑이 파 팬 치들 에게 욕을 먹었다."
73,"이 시절에 욕설을 많이 썼었고, < 빠른 노숙자> 같이 막장 상황 극을 많이 해서 인지 이때를 악마나 망령으로, 현재 왁굳을 천사로 명명해 이중 인격(?) 컨셉으로 덕 질하는 왁 청자들도 나왔다."
74,다만 클럽 원들 중 활발히 활동하는 BJ는 전체 클럽 원의 절반 정도. 우 왁굳 TV 1 기 때는 GTA 4를 주력으로 찰진 욕과 엄청난 텐션으로 인기를 몰았지만 2 기 때는 욕을 줄이는 대신 콘텐츠 개발에 주력하면서 시청자들 과의 소통을 늘렸다.
75,1 기 때 만큼은 아니지만 가끔 씩 텐션이 올라간 모습을 보이거나 욕을 할 때면 채팅 방은 09 왁굳으로 도배된다.
76,"또 컴백 이후에는 최대한 욕을 자제하고 예의 바른 모습을 보이고 있으나, 가끔 클럽 원이나 오래 알고 지내던 시청자들과 함께 할 때 그리고 정말 빡쳤을 때는 그 일면이 가끔 나오는 경우도 있다."
77,"욕설을 가급적이면 자제하고, 목소리 톤이 낮아 지면서 목소리에 입문한 여성 시청자들도 많아 졌다."
78,"게임을 하다가, 타 플레이어들 로 부터 심한 욕이 나와도 웃거나, 자연스럽게 넘기는 편이다."
79,": 가장 문제시 되는 것. 뇌 피 셜, 훈수, 비난, 어 그로, 물타기, 몰아가기 [94] 같은 매너 없는 채팅 때문에 본의 아니게 곤욕을 겪는 경우가 자주 있다."
80,"하지만 그만큼 유입이 많을수록 평범한 시청자들도 유입이 많지만, 일부 시청자들은 유언비어를 쓰며 배척하는 경우도 종종 있는 편이며 심하면 욕설도 나오는 편이나 [97] 위에서 서술했듯이 우왁굳은 크게 신경 쓰지 않는 편이다."
81,"2009~10 년 당시의 모습을 보면 반말을 툭툭 내뱉고, 마음에 안 들면 욕도 서슴치 않는 등 방송을 막장으로 진행하는 모습을 볼 수 있다."
82,"이런 모습은 게임을 하면서 혼자 놀기를 할 때 진가를 드러냈는데, 단순히 걸쭉한 욕설을 포함한 개 드립과 함께 NPC에게 폭력을 휘두르는 것만으로도 상당한 인기를 자랑했다."
83,멸망 전 초창기에는 우승을 목표로 실력파 멤버로 팀을 짰으나 작정하고 우승을 하려고 코벤져스로 멤버를 짠 뒤 우승을 하고도 욕을 먹어서 최근에는 실력뿐만 아니라 방송의 재미와 연습 기간 동안 스토리텔링을 할 수 있는 멤버들을 뽑고 있다.
84,클린 방송이 여서 연령 대가 넓을 수 있는 것으로 보인다.
85,초창기 영상은 욕설이 들어가있어서 비공개된 상태다.
86,초창기 영상 일부와 아크 확장 팩 2편 영상을 제외하고는 화나서 욕을 사용한 적이 없다.
87,가끔 야외촬영이나 기타 리얼함을 보여주는 영상에서는 욕설이 아주 가끔 섞이지만 타 대기업 스트 리머들보단 확실히 약하다.
88,뒷광고와 관련해 여러 방송인들이 욕먹은 것과 반대로 유정 호는 광고를 안 넣는 점 때문에 오히려 시청자들은 용돈 벌이로나마 광고 하나라도 넣으라는 말이 많다.
89,턱 형 덕 자 부당계약 논란 이후 턱형으로 오해 받아 욕을 먹었다며 억울함을 호소했다.2019
90,새벽 우유 배달 신문 배달 목욕탕 청소 가끔 중국집 배달 일을 하면서 힘든 소년 소녀 가장 홀몸 어르신을 뵈게 되었고 어느 순간 그 이웃들과 가까워 지니 그들을 돕는 방법은 어려운 것이 아니다라고 생각했고 인터넷에 약자를 돕는 방법을 공유하기를 수년 간 처음에는 착한 척하는 사람이다 반짝하고 말 것이다 라는 사람들이 응원해 주고 동참하기 시작했어요.
91,당시 담임교사가 어머니를 학교로 불러 대놓고 촌지를 요구하였는데 어머니가 거절하였으며 그 이후부터 담임교사가 유정 호를 모욕하고 반 학생들에게 따돌림을 조장 [21] 하여 피해를 받았다는 내용을 동영상으로 찍어 올렸었다.
92,주장하며 [26] 이런 유정 호는 허위사실 명예훼손을 저지른 사람새끼도 아닌 개벌레라는 쌍 욕을 퍼부으며 이런 명예훼손이나 하는 건 흉악범이나 다름없는 수준이라는 식으로 주장했다.
93,"특히나 당시 유니 그 다음으로 막내였던 미니는 욕을 바가지로, 그리고 제일 많이 먹었다."
94,하지만 다수 무개념 시청자들이 쁘허가 써 놓은 규칙을 어기면서 까지 욕설과 도배를 많이 해서 3일만 하다가 더 이상 안하기로 했다.
95,' ' 본인이 방송하면서 아무 이유 없이 욕을 싸지른 게 개념 없는 10대인데 당연히 애새끼라고 부르죠
96,욕설은 자제하는 편. 나오는 욕들도 대부분 원만하게 돌려 말하는 편이다.
97,"그러다 도가 지나치자 욕설, 악플은 경고 없이 삭제하는 조치를 취하고 더 이상 답 글을 달지 않겠다 고까지 했었다."
98,"이 때문인지 본 영상이 끝나고 짧게 나오는 소개 영상엔 클래 시 로얄 플레이 영상이 나오면서 자막이 "" 욕도 먹어 가며"" 이다.2017"
99,그런 데 몇몇 개념 없는 사람들이 왜 추첨을 숫자 뽑기로 했느냐며 [37] 욕설을 하고 구독을 취소하겠다는 등 진상 짓을 벌였다(...). 안 그래도 비난에 민감한 기 리인데 한 명도 아니고 여러 명한테 이런 말을 들었으니 꽤나 스트레스를 많이 받게 될 듯. 이 영상에서 밝힌 바에 따르면 2013년에서 2018년까지 무려 1억 893만 2400원을 게임에 질렀다고
100,"위의 포켓 몬 모드가 별로라는 시청자들의 조언을 듣고 시작하게 된 두 번째 모드. 본 게임에선 솔플로 모든 보스들을 격파한 위엄을 자랑했지만, 이 모드에선 난이 도가 난이도라서 그런지 첫날부터 쓰러지기만 하는 굴욕적인 모습만을 보여주었다."
101,"영상 도중 준 에게 욕설개ㅈ랄을 사용하였고, 그 이후부터 구독자가 조금씩 줄어드는 행보를 보이고 있다."
102,"현재 해명 영상은 삭제된 상태이며, 욕설에 대해서는 준 에게 사과하였다고"
103,월 24일 문 상 당첨자 뽑기 방송을 하였는데 마지막 3명을 방송 시청자들 중 뽑겠다는 발언을 하였고 그로 인해 채팅 창이 폭주해서 3명이 뽑힌 뒤에도 채팅의 열기가 식지 않고 계속 이메일을 적어 대거나 욕을 하면서 그만 좀 하라는 청자들 때문에 빡종을 하였다.5
104,"그래서 옛날 영상들 중 수위가 조금 있거나 욕이 있는 건 다 삭제하거나, 비공개로 돌렸다."
105,저 연령층을 타깃으로 두니 유 튜브 댓 글에 악플과 욕이 줄어 좋다고
106,"이 날 램 램은 방 종하기 전, 욕해 달라는 시청자들의 요구에 욕을 귀엽게 순화시켜서 했다."
107,톰과 제리 악마의 열매 서 바이 벌 원피스 룰렛: 랜덤 열매능력 찾아 우주로 러 시안 룰렛 달걀 도박 전쟁 초능력 술래잡기능력 찾아 삼만 리 추 노 눈치를 보며 침투하기! 하늘에서 핵이 떨어져 요목 욕탕 물을 막아라!도
108,"지속적인 활동 와중 모욕의 내용이 정도를 넘은 네티즌들을 대상으로는 고소를 진행했고, 이 또한 유 튜브에 업 로드했다."
109,"게임 내에서 바로 차단하는 대상은 심한 정치질, 징 무 새 [121], 저격 발언 등을 일삼는 사람들 가끔 시청자들이 미션을 주기도 하는데 ' 무슨 맵에서 몇 킬 하기' ' 무슨 영웅으로 팟 지 먹기' 등등. 그런데 그 미션에 별 풍선이 걸리면 일명 자 낳괴( 돼) 모드가 발동되면서 갑자기 의욕적으로 변한다."
110,"그러나 친 추 받았는데 그 유저가 과도한 귓속말이나 욕설, 비방 등으로 인해 방송 진행을 방해한다고 본인이 판단하면 과감히 친 삭 하고 차단해 버린다."
111,"욕을 많이 먹어도 계속 댓 글을 달아 욕을 더 막고 있을 때, 갑자기 돌연 복붙하는 행위를 중지하였다."
112,"아프리카 TV에서 아이온 방송을 4년 간 한 BJ 여서 인지, 웬만한 어 그로에는 끄떡도 않는 편. [36] 시청자들도 대부분 클린한 편이다."
113,"설정 변경 후 눈에 띄게 클린 해진 채팅 창에 군림 보는 굉장히 만족하는 듯."" 모두가 포기한 그 순간..."" - 대표적인 휴먼 림보 체 처음에는 오버 워치 갤러리, APEX 리그 방송의 어 그로들에 의해 만들어 진 말로 군림보의 유 튜브 썸 네 일을 까기 위해서 만들어 졌다."
114,렉이 거의 없고 핵도 없는 클린한 환경이 마음에 들었다고.4
115,"[65] [66] 타스 트리 머 발언 [67] 시청 자수 발언 [68] 명령어 3회 연속 사용 반말, 욕, 혐오 발언 선 넘는 요구 [69] 방송 채팅에서 무분별하게 ' 유하' 언급을 자제하는 분위기이다."
116,"머 독은 씨 그랑 창, 씨그 락지처럼 욕 같지만 욕이 아닌 말들 등의 새로운 말들을 내뱉기도 했으며 다른 사람의 닉네임 [38], 몬스터 이름 등을 약간씩 변형해 부르거나 아예 별칭을 지어 별칭으로 대체해 부르기도 했다."
117,하지만 잘 살리지 못하면 3 류 저질 방송이 되어서 시청자들에게 줄줄이 욕을 먹게 되었다.
118,"1, 2, 3 그래도 성 드립은 막 내뱉지 않고 돌려서 한 편. 막 내뱉을 때는 거침없이 내 뱉었 다 예! 찌 찌 파티! 욕도 많이 사용한 편이다."
119,방송 중간 중간에 마음에 안 드는 말을 하는 시청자들에게 욕을 하기도 했고 병 청자가 많아 질 때나 게임이 잘 안 풀릴 때 욕을 하기도 했다.
120,갑자기 욕이 튀어나올 때도 있었는데 이때 시청자들이 머 독을 틱 장애라고 하기도 했다.
121,"몇 번 자제하려는 모습을 보여주기도 했으나 방송의 노 잼화 등의 이유로 항상 실패했고 현재는 시청자들이 지적을 하고 나이를 먹어서 인지 심한 드립, 욕, 민폐 짓 등을 예전보다 자제하고 친절한 모습까지 보여주고 있으나 크게 달라진 것 같진 않아 보인다."
122,머 독은 음악을 틀 때 짝짝이로 들리게 하거나 볼륨 조절을 하는 등 시청자들의 귀를 능욕하기도 해서 볼륨조절 장애( 볼 조장) 라는 말을 듣기도 했고 컴퓨터 오류 음으로 박자를 맞추기도 했다.
123,전라도 라 임 폭격기 방송 도중에 라 임을 막 넣는 개그를 자주 했는데 재미가 없어 시청자들에게 욕을 먹기도 했다.
124,합동 방송 이전에 욕도 하지 않는 대도 서관의 방송 스타일과 머 독의 방송 스타일이 맞지 않아서 걱정하는 사람들이 많았지만 방송 이후 시청자들의 반응은 좋은 편이었다.
125,"1, 2 물론 혀로에게 심한 욕설을 퍼붓거나 인신공격을 하는 등의 쓰레기 짓을 했었던 것은 아니고 앞의 영상을 통해 알 수 있듯이 어디까지나 친한 친구에게 대하는 것처럼 조금 짖궂게 장난을 쳤었던 것이다."
126,시청자들은 머 독이 유일하게 욕을 안한 영상이기 때문에 조회 수가 높다는 농담을 하곤 했다.
127,"하는 것은 위에 쓰여 진 머 독의 사이코 기믹과 성격과 게임 실력 때문이 기도 하다. 머 독은 일부러 욕먹을 만한 말을 한 뒤 바로 "" 죄송합니다"
128,"아이스 에이지! 채팅 창에서는 지나친 욕설이나 드립, 분쟁을 일으키는 발언, 쓸데없는 도배나 물타기 혹은 그 유도 [77], 쓸데없거나 물타기 식으로 하는 훈수, 타 인터넷 방송인 언급 [78], 지나친 요구, 광고, 스포일러, 완장질, ' 네 다씹' 등의 배척 [79] 등을 제재했다."
129,"트윗에는 대정령이 항상 마애 클럽 해체에 대해 그의 아내 퐁듀와 퍼( 케핀) 하고만 상의했고 마애 클럽 원들에게는 통보만 했다는 얘기, 대정령이 트위터에서 퐁듀와퍼가 욕을 먹고 있는 것을 본 뒤 마애 클럽 원들에게 퐁듀와퍼를 편들어 달라고 했고 자신의 말에 대답하지 않을 거면 마애 클럽에서 나간 뒤 차단을 걸으라고 했다는 얘기, 대정령이 일방적으로 마애 클럽 해체 뒤 유 튜브 추천 채널에서 머 독의 유 튜브 채널을 삭제했고 게임 친구 목록에서 머 독을 삭제했으며 트위터에서 머 독을 언 팔로 우했다는 얘기, 퐁듀와퍼가 머 독의 사생활을 폭로 했다는 소문이 있다는 얘기 등이 담겨 있었다."
130,"2018년 10월 7일에는 서든 어택을 하던 도중 대정령 캐릭터를 보자마자 욕을 하면서 방을 나가기도 했고 뒤에서 공격을 당하자 "" 대정령이야?"
131,"2019년 3월 16일에는 King Of Crabs 라는 모바일 게임을 하던 도중에 'PD ㄷ ㅈㄹ' 이라는 닉네임을 쓰는 유저를 본 뒤 욕을 하면서 죽였고 나중에 또 마주치고는 ""X 발 넌 X 같아서 죽여야 겠다. 그런 닉네임을 짓는 의도가 뭐냐?"
132,"자신이 방송 스타일을 바꿀 수밖에 없던 이유 및 그에 대한 사과와, 전 멤버들뿐만 아니라 현 멤버들에 대한 책임감, 아프리카 시절 시청자를 위해서 가끔 씩이라도 비슷한 영상을 만들겠다는 약속, 그리고 자신과 현 멤버들에게 지나친 욕설 등을 하지 말아 달라는 부탁 등이 적혀 있다.8"
133,이 글을 읽고 있는 시청자 중 욕설이 싫은 어린 팬 분들은 안보 길 추천한다.
134,"이 분이 누 군지 알고 - 방송을 끄고 히오스를 돌리던 중 같은 팀원에게 욕을 먹는 상황이 되었고 대꾸를 하지 않고 있었는데, 가만히 있던"
135,"' 라는 항의를 받자 먹 방 영상의 제목을 "" 식욕 감퇴 먹 방 ""으로 바꾸었다."
136,"피클 국물 - 탈모 예방, 구취 제거, 숙취 예방, 조미료, 모기 및 바퀴벌레 퇴치, 입욕제. 안 들어 가는 곳이 없으며 못 쓰는 데가 없다."
137,"2017년 4월, 유 튜브 방송에서 욕설 댓 글을 단 일. 사건을 요약하자면 이 말년이 ' 히 오스를 욕할 거면 해보고 욕하라' 라는 취지의 동영상을 올렸는데 이 댓 글에 한 시청자가 히오스의 타격감을 운운하며 히 오스 유저들을 비하했고, 타 시청자와 언쟁이 붙었다."
