,sentences
32,여담으로 2019 롤 챔피언십 결승 전 브리핑 중인 Riot Games 공식 채널에서 pvman=gg 가 도배된 적이 있다.
33,같이 했던 한국 북미 프로 선수들 그리고 북미 스트 리머들 등 많은 사람들과 많이 알고 지내고 잘 어울리는 편. 하지만 밖에 나가길 싫어하고 집을 좋아하는 스타일이다.
34,실제로 스코어 은퇴 식에 갈려고 오랜만에 집 밖을 나섰다가 택시에서 멀미 때문에 안경을 벗었다가 그대로 두고 내려서 며칠 동안 불편한 렌즈를 쓰고 지내며 방송했다.
35,마 타의 말에 의하면 북미 왕자라고 한다.
36,[14] 결국 마 타의 롤 프로 게이 머 이상형 월드컵에서 1등을 했다.2014
37,년 11월에 TiP의 전신인 LMQ로 이적했다.
38,"2015 NA LCS Spring 1 주차부터 등장했는데, 초반에는 적응 문제인지 날카로운 모습과 오락 가락하는 모습을 동시에 보여주고 있다."
39,한 타에서 무리한 이니 시를 시도 하다 장 렬히 산화하는 광경이 자주 보이는데 한국인이면서 같이 이니 시를 담당해 줄 수 있는 임팩트가 합류했고 본인도 경험을 쌓을 기회가 많은 만큼 앞으로 달라질 여지가 있다.4
40,주차에서 바 이로 초 하드 캐리를 보여주고 한 타에서 1:4 로 선 이니 시를 열어 버리는 등 무 쌍을 찍어 해설자들도 기대감을 높이고 있다.
41,챔프 폭이 좁은 척 상대의 저격 밴을 유도해 놓고 새로운 카드를 꺼내든 면에서도 긍정적인 평가를 받고 있다.
42,이후로도 기복이 있지만 상승세를 타고 있다.
43,"1 티어에서 내려왔다는 리 신을 타 겟팅 음파와 패 시브 인섹킥을 이용해 사실상 1 티 어로 쓰고 있으며, 현재 주류 정글 챔프도 하나하나 익혀 좋은 모습을 보여주는 중. 좋은 원 딜은 많고 미드 수준도 상당히 높아 졌지만 좋은 정글이 귀한 북미에 신선한 바람을 불어넣고 있다."
44,플레이 오프에서 그래 비티 게이밍을 만 나 3대 1을 기록하는데 큰 기여를 했다.
45,"첫 경기에서 다른 선수들이 잘 픽 하지 않는 리 신을 가지고, 역시 리 신 밴을 꾸준히 당하는 이유를 잘 보여주었다."
46,2 경기에서 샤오웨이샤오가 마스터 리를 찍지 않아 진 것은 어쩔 수 없었다고
47,"치고, 3, 4 경기에서 렉사이, 바이를 픽 해 팀을 캐리하는 모습을 보였다."
48,"레 딧에선 러 쉬의 바이 만큼 남자다운 것을 본 적이 없다 라고. 링크 참조 그리고 러 쉬가 경기 후 인터뷰에서 "" 스킬을 다 피할 수 있으면 탱 키한 정글 러를 할 필요가 없다"" 라는 말도 남겨 화제가 되었다."
49,갈수록 폼이 올라 북미를 씹어 먹는 활약을 하는 반면 한국 롤 챔 스는 우수한 정글 러가 부족해 템포가 느려 지고 IEM 쇼크를 겪었다는 평가가 대세를 이루고 있다.
50,러 쉬가 단지 벵기에게 밀렸지만 영어를 잘해서 해외로 나간 것이 아니라 러 쉬 같은 최고 아마추어를 해외에 뺏겨 롤챔스가 정체한다 수준으로 재평가가 이루어지는 상황. 하지만 개인 항목 분리는 기약이 없다.
51,중국에 스네이크는 팀 항목도 없는데 뭐 여담으로 북미에서 4위의 성적을 거두고 한국으로 돌아와서 솔 랭을 돌 리 거만 정작 팀 이름이 TIP로 바뀌어서 TIP rush로 바뀌었는데 사람들이 못 알아 본다 ...5 월 18일 월요일 기준 미친 승률을 자랑하며 페이커와 같이 솔 랭 공동 1위를 기록하고 있다.
52,"무려 단 30일 만에 언랭에서 랭킹 1,2까지 올라온 것이다 ㅎ ㄷ ㄷ 그리고 랭킹 1위를 기록한 채로 북미로 다시 복귀했는데 북미에서 돌리고 있는 건지 한국 본계 정인 TIP Rush가 LCS 시즌 중임에도 돌아가고 있다.2015"
53,"NA LCS Summer 7 주차 첫 경기에서 디 그니 타스를 상대로, 유행이 지난 챔피언 리 신을 꺼 내 팀을 캐리하였다."
54,[8] 디 그의 미드 Shiphtur를 억제 기로부터 용의 분노로 꺼 내와서 순삭 시키는 것이 일품이었다.
55,2015 서 머 정규 시즌 MVP를 수상했다!
56,정규 시즌 1위 팀에 누구 주기가 애매해서 그런 것 같다 그리고 포스트 시즌과 선발전에서 영원히 고통 받고 있다.
57,"스프링/ 서 머 시즌 모두 플레이 오프에서 Team Liquid에 밀렸고, 롤 드컵 선발전에서는 C9에 2:3으로 밀려 탈락했다."
58,탈락 후에는 pvman 이라는 아이디로 한국 솔 랭을 돌리면서 C9 선수들의 한국 전지훈련을 도와주고 있다.
59,오오 영어 되는 고학력자 오오 아무래도 하이의 정 글러 적응이 순탄치 않기 때문에 C9 이 다음 시즌 러 쉬 영입을 위한 물밑작업을 하고 있다는 추측도 존재. 하지만 레딧에 의하면 CLG 쪽도 러 쉬의 도움을 받는 모양이다.
60,다만 CLG 쪽은 상관이 없는데 C9 쪽은 인 카네이션이 지역 외 플레이어라
61,용병쿼터를 잡아먹어서 임팩트와의 동반 이적은 불가능하다는 것이 흠. 러 쉬가 오더 웬만큼만 해 주면 C9+ 임팩트 러 쉬는 꿈의 라인업이라는 것이 중론 안되면 하이 서포터 보내죠?
62,"스피릿도 자신을 제외한 특급 정 글러로 체 이서, 클리어 러브, 카카오와 함께 러 쉬를 뽑은 것을 보면 아직도 대회에서 팀에게 고통 받아 모든 것을 보여주지 못했다고"
63,봐야 할 듯하다.
64,그리고 C9으로 이적한다!! 임팩트와 같이 옮기는 것은 실패했지만 그래도 상위권 팀인 C9으로 이적했기 때문에 괜찮다는 평. 레딧이나 기타 팬들의 반응도 북미 A 급 정글 러 중 하나 인 러 쉬가 C9에 간 것에 환영을 보내고 있다.
65,사실 3위 팀에서 정규 시즌 MVP 인 데 A 급이라는 것도 짜게 평하는 거다
66,"[9 ]C9 소속으로 비 시즌 IEM 쾰른부터 정규 시즌 초반까지 꾸준히 부진하고, 특히나 킬 딸에 맛 들이고 캐리 병에 걸린 아주 전형적인 솔 랭 형 정글 러의 모습을 보여 현지 팬들에게 비판을 많이 받았다."
67,하지만 하이가 서포터로 고정되고 팀의 운영이 향상되면서 TIP 시절의 기량을 회복하고 있는 듯. 특히 4 주차에 NRG 와의 빅 매치에서 상대 정 글러 Moon을 압살하며 공동 2위 팀들 간의 싸움에서 유리한 고지를 점했다.
68,정규 시즌 하이의 합류로 물오른 경기력을 보여주었지만 플레이 오프에서는 TSM을 만나서 3대 1로 패배하고 말았다.
69,러 쉬가 하필 경기 전 인터뷰에서 승패 패패 같은 것을 잘 당한다고 말해서 징크스라는 평가도 나오는 상태. TSM이 작정하고 러 쉬를 겨냥하는 픽 밴으로 러 쉬의 캐리력을 약화시키자 킨 드레드로 괜찮은 모습을 보였지만 정규 시즌 잠자던 스벤스케런이 미쳐 날뛰었다.
70,일단 굳이 4 연 킨 드레드를 강제한 픽 밴 도 아쉽지만 경기가 갈수록 러 쉬 의 멘 탈이 흔들리는지 정규 시즌에서 보여주던 날카로움이 없었다는 평가. 하지만 c9 이 임팩트를 영입한 뒤에 로컬룰 문제로 서 머 시즌 들어 팀 숙소에서 나와 우리나라에 머물고 있는 상태라고 한다.
71,다만 아직 까진 C9 소속이라고 한다.
72,결국 7월 17 일자로 팀을 완전히 떠났다고
73,한다.
74,러 쉬 입장에선 느닷없는 룰 개정 때문에 완전히 새된 상태 .C9 방 출 관련해서는 tilted라고 뭐라
75,할 수 없는 게 라
76,이엇 게임 즈 항목을 보면 알겠지만 러 쉬가 붕 뜬 데는 꼼수를 부린 C9 과 이걸 소급 적용이라는 최악의 수로 찍어 누른 라이 엇의 쌍방과 실이 얽혔고 러 쉬는 이 케이스에 완전 최악으로 당한 것이다.
77,"라이 엇이 러 쉬에게 금전적인 측면이든 선수 커리어에 대한 측면이든 보상의지가 없다는 것 자체가 라이 엇의 막장성을 드러내는 증거 .2017 년 12월 6일, KT Rolster에 입단한다는 기사가 나왔다."
78,현재 솔 랭 아이디 9346[10 ]으로 미드라 이너인 Ucal[11] 선수와 Pawn 선수와 같이 따로 듀오 랭크를 돌리고 있다.
79,아마 가장 호흡에 맞는 미드라 이너를 찾는 중으로 보인다.
80,현재 아이디는 RUSH RUSH. 챌린저 상위권에서 놀고 있는 모습을 보인다.
81,롤 갤 이나 기타 커뮤니티 대 퍼 팬들 kt 팬이 아니다 대 퍼 팬이다
82,"사이에서 갤 주인 스코어의 지지도가 절대적이 긴 하지만, 북미 시절 시청자들이 러 쉬가 대퍼에 어울리는 정글 러라는 약을 파는 중이다."
83,"현재 솔 랭 1위에 올라 있는데, kt 롤 스터 쪽에서 포스트 시즌을 앞두고 조커카드로 활용할 지가 변수이다.3"
84,"월 25일, 아프리카와의 정규 시즌 마지막 경기에서 첫 출전, 1 세트는 세주 아니를 픽 해 시원한 이니 시에이팅과 높은 갱 킹 성공률을 보여주었다."
85,"한 타가 열렸을 때 다소 이른 타이밍에 죽는다는 평도 있지만, 제 역할은 다 하고 죽는다는 평이 우세하였다."
86,또 한 2 세트는 러 쉬의 시 그니 처 픽 과 같은 리신을 꺼 내들어 기존 kt 정글 러 인 스코어에게 서는 보기 힘들었던 퍼펙트한 오브 젝트 컨트롤을 보여주며 팀의 승리에 일조했다.
87,"물론, 미드라 이너 유 칼선수가 솔로 킬 을 따며 눈에 띄게 활약한 경기 이 긴하지만 데뷔 전에서 큰 실수 없이 경기 내내 준수한 모습을 보여준 것 만으로도 긍정적인 평가를 내리는 추세이다."
88,서 머 시즌엔 7 세트 출전해 4승 3패의 성적을 거뒀다.
89,스코어가 거의 주전으로 출전한 지라 이렇다 할 활약이 없었으며 결승전에서도 한 세트도 출전하지 못했지만 팀이 3대 2로 승리해 개인 통산 첫 번째 LCK 우승을 거두었다.11
90,월 20 일자로 팀을 나왔다.12
91,월 1 일자로 Echo Fox에 입단하였다.
92,그리고 레딧은 혼란에 빠졌다 [12] 업데이트가 없는데 사실상 에코 폭스의 에이스다.
93,플옵 막차라도 탄 것은 러 쉬라는 확고한 에이스를 어떻게든 팀원들이 보좌했기 때문으로 프로 겐 빨이었던
94,GGS와 비슷하다.
95,"물론 플옵 탈락 팀의 POE, 썸 데이, 뱅, 애로 우 크라운 등 에이스들이 무조건 러 쉬보다 못했다 기보다는 그쪽은 에이스를 보좌 하기는 커 녕 폭행할 선수들 로만 구성되었던 것이 더 크긴 하다. 하지만 러 쉬라는 에이스가 없었다면 에코 폭스는 클러치 출신 탑봇에게 보좌 대신 에이스 롤을 반 강제로 맡기다 시즌 접었을 것이다."
96,"특유의 공격적인 무리수로 인해 데 스는 많지만, 여전한 갱 킹력에 많은 경력 + LCK 유학 버프로 인한 지능 향상으로 인해 컨트랙츠의 상위 호환에 가깝다."
97,"그러나 특유의 공격적인 성향이 포스트 시즌에서 독이 되며 TSM을 상대로는 눈 썩는 경기력을 보였고, 팀이 3-1로 패배하는 데 지대한 역할을 했다."
98,어쨌든 서 머 1 주차 2 경기에서 털리는 와중에도 최대한 엑스 미시와 TL을 상대로 이득을 보고 결국 상대 뇌 절과 로스트 의 쓸어 담기로 그 TL 잡아내는 모습을 보면 스벤스케런과 함께 북미 정상급 정글 러는 맞는 것 같다.
99,물론 칭 총과 러 쉬 모두 진짜 월드 클래스 정글 러들에 비해서는 너무 던진다.
100,"이들보다 팀 기여도도 낮으면서 더 던지는 아 카 디 안, 덜 던지는데 믿음이 안 가는 엑스 미시와 그리그 ......7 월 1일 스트리밍 방송을 통해 팀에서 나왔다고 알렸다."
101,자세한 얘기는 하지 않았지만 자신이 원해서 나왔다고
102,알렸다.
103,이후 방송을 하다가 8월 17 일자로 CLG 소속 스트리머가 되었다.
104,"선수로서의 은퇴 선언을 하지 않은 것을 보면 아직 재기를 노리고 있는 듯하지만, 정식 발표는 아직 없다."
105,이후 스트리밍 방송을 통해 스프링 스플릿에서는 뛰진 못 하고 써 머 시즌부터 뛸 수 있을 거 같다고
106,말했다.
107,트위치 TV에서 방송을 하고 영상을 유 튜브에 올리는 스트리머가 되었다.
108,유창한 영어 실력 덕분인지 영어로 방송하며 시청자도 거의 전부 영어권이다.
109,영어 입담이 상당해서 스니 키 뺨치는 시청자를 끌어모은다.
110,"역시 스트리밍 명가 C9 난다 긴다 하는 한국 천상계 솔 랭에서도 리신 등으로 미친 듯한 매 드무 비를 찍어 내기도 하고, 한국 전지훈련 온 해외 선수들과 듀오를 돌리는 모습도 보였다."
111,"상술했듯이 이전 C9 멤 버들과는 여전히 사이가 좋으나, 방출 당시에 일어난 일들에 대해서는 굉장히 tilt( 멘 붕) 한 것으로 보인다."
112,유 튜브에 공식 채널을 등록하고 최근에 플레이 했던 영상을 편집해 올리는 것으로 보아 전문 스트리머로 진로를 바꾼 것으로 보인다.
113,그 이유 중 하나는 지금 다이 아몬드 1 티어 까지 떨어졌는데 말로는 마스터를 간다고 하지만 엄청 던진다.
114,"본 캐는 tiltlord, 서브 아이디로 C9 Rush, Rush VII, pvman 등이 있다."
115,본인 말로는 6개의 smurf 개정이 있다고.
116,티어는 다이 아몬드 or 골드이다.
117,방송을 보면 알겠지만 늘 하던 대로 공격적으로 움직여서 이게 생각을 하고 하는 플레이가 아니라 몸에 밴 관성처럼 움직이는 것으로 보인다.
118,그래서 4 연 패를 기본으로 깔고 갈 정도로 연패가 많다.
119,팬으로서 어느 리그에서든 보고 싶은데 프로를 할 맘이 없는 것 같다.
120,장난으로 미 티 어스에 대한 이야기를 꺼내지만 어디까지나 북미 조크일 뿐 확인된 바는 없다.
121,최근 스트리밍 방송에서 전 소속 팀 멤버인 Jensen과 Sneaky에게 $5520를 기부 받았다.
122,"기부에 대한 요구로 자기를 강간하는 건 좋지만 자기가 죽고 나서 해 달라는 러 쉬의 트래 쉬 조크는 덤 한국 솔 랭 1위를 찍고 외고 출신의 영어 실력에 북미 LCS 정규 시즌 MVP로 검증된 상황이기에 시즌 7에도 한국 팀과 서양 팀의 정글 러가 부진하면 팬들 입에서 거의 공공재 수준으로 언급되고 있는 편이나, 매우 흥하는 개인방송 및 본인의 다른 화두인 학업 또한 고려해야 하는 상황 때문에 실현 가능성이 없어 보였다."
123,그런 데 시즌 8 프리 시즌에 9346이라는 의문의 계정이 1렙 봇 전... 부터 유 칼의 새로운 계정과 듀오를 돌리는 모습이 포착되었다.
124,"이 '9346' 이 리 신을 잘하는 모습이나, 러 쉬의 생일이 1993년 4월 6일인 것을 유추해 러 쉬라는 의견이 나오면서 KT 입단 루머가 돌더니, 12월 6일에 진짜로 KT에 입단하면서 프로 무대에 복귀했다."
125,역시 한국인으로 한국에서 살고 있지만 영어로 트위치 TV에서 스트리밍을 진행한다.KT
126,시절 같이 한솥밥을 먹던 폰 선수와 듀오를 돌리고 있다.2020
127,년 스프 링 부터는 LA에서 스트리밍 하는 것을 계획 중이며 2020 써 머부터 복귀할 수 있을 거 같다고
128,얘기했다.2
129,월 1일일 pvman 계정 마스터 승급 성공 공 2월 12일 부터는 한국에 온 TF 블레이드와 1K 구독권 내기 중이다.
130,먼저 언랭부터 챌 1위까지 찍거나 TF 블레이드 멈추자고
131,할 때 점수가 가장 높은 사람이 이기는 내기다.
132,러 쉬는 자신이 당연히 이길 거라고 계속 얘기하고 있다.
133,다
134,1-2 구간에서 조금 고생하다가 연승 이후 현재 2/26 그 랜드 마스터 89점에 서식 중이다.
135,평소와 달리 캠을 키지 않고 마이크도 거의 안 키고 빡겜 중이다.
136,빨리 TF 블레이드 를를 따라 잡고 저격하고 싶다고
137,했다.
138,새로 판 Mr Humble 계정에서 플레이 중 3월 4일 CLG에서 공식 트위터와 유 튜브를 통해 러 쉬를 컨 텐트 크리에 이 터로 NA( 북미) 로 오게 되었다고
139,알렸다.
140,정글 플레이 중 정글의 영향력이 많이 줄었다고
141,판단. 영향력이 가장 높다고
142,생각되는 미드 탑을 플레이 중이다.
143,실제로 점수를 거의 GM 300점까지 올렸다.
144,녹턴으로 연승 중이었으나 끊긴 후 2보 전진을 위한 1보 후퇴 중 .3 월 9일 오후 3시 경부터 3월 10일 새벽 3시까지 대부분 정글을 플레이해 7 연 승 포함 15승 5패를 하면서 GM 361점까지 올렸다.
145,"여담으로 마지막 판은 전 동료인 스맵, 킹 겐, 제 니트를 만 나 승리했다."
146,상대로 만난 스맵이 러 쉬러 쉬냐
147,"면서 허 접이라고 하기도 2020년 11월 첫 방송에서 방제를 "" 롤을 하는 마지막 달이 될 것 같다 ""라고 한 것으로 보아 조만간 군 입대를 할 것으로 보이며 11월 11일 방송 제목을 "" 현실 원 딜 이 될 것이기에 원 딜 할거 임"" 이라고 적어 확인 사살했다."
148,이후 11월 18일 마지막 방송을 진행했다.
149,11월 30일 입대한다고 한다.
